headline;title;description;pubTime;pubDate
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Fast ein Fuenftel der deutschen Firmen plant Stellenabbau;Fast ein Fuenftel der deutschen Unternehmen planen dem ifo-Institut zufolge im Zuge der Krise einen Stellenabbau.;07:39;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Ueber 148.000 Infizierte in Deutschland;In Deutschland steigt nach Angaben des Robert Koch-Instituts die Zahl der Infizierten um 2352 auf 148.046.;07:24;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;VW faehrt Produktion in Zwickau und Chemnitz wieder hoch;Nach mehr als fuenf Wochen Corona-Stillstand laeuft beim Autobauer Volkswagen am Donnerstag die Fahrzeugproduktion langsam wieder an.;07:01;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Entwicklungsminister fordert weitere drei Milliarden Euro;Entwicklungsminister Gerd Mueller (CSU) fordert weitere drei Milliarden Euro aus dem Bundeshaushalt fuer die Bekaempfung der Coronavirus-Pandemie in armen Laendern.;06:56;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Daimler-Gewinn bricht um 78 Prozent ein;Der deutsche Autobauer muss infolge der Corona-Pandemie seine Prognosen fuer das Geschaeftsjahr kraeftig nach unten korrigieren.;06:37;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Krankenkassen sperren sich gegen Finanzierung von Corona-Tests;Die Krankenkassen ueben Kritik an dem Vorhaben von Gesundheitsminister Jens Spahn (CDU), die Kosten fuer die Corona-Tests auch bei der geplanten massiven Ausweitung weiterhin auf die gesetzliche Krankenversicherung abzuwaelzen.;11:48;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Zentralrat der Muslime fordert staatliche Corona-Hilfen;Der Vorsitzende des Zentralrats der Muslime, Aiman Mazyek, fordert in der Corona-Krise Finanzhilfen des Staates fuer Moscheen.;06:29;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Oesterreich will bald Grenze oeffnen;Oesterreichs Kanzler Sebastian Kurz (OeVP) hat sich zuversichtlich gezeigt, dass das Reisen zwischen Oesterreich und Deutschland wieder moeglich wird.;06:26;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Impfallianz Gavi fordert fruehe Verhandlungen ueber Impfstoff;Die internationale Impfallianz Gavi raet Regierungen und Gesundheitsorganisationen zu fruehen internationalen Vereinbarungen ueber die kuenftige Verteilung einer Immunisierung gegen das Coronavirus.;05:50;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;EU will Afrika in Coronakrise per Luftbruecke helfen;Die Europaeische Union will afrikanischen Laendern mit einer humanitaeren Luftbruecke im Kampf gegen das Coronavirus helfen.;05:24;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Weltaerztepraesident kritisiert Maskenpflicht;Weltaerztepraesident Frank Ulrich Montgomery hat die ab kommender Woche in ganz Deutschland im Kampf gegen das Coronavirus geltende Maskenpflicht scharf kritisiert.;04:47;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Trump unterzeichnet Dekret zu vorlaeufigem Einwanderungs-Stopp;Die Einwanderung in die USA wird wegen der Corona-Krise fuer mindestens zwei Monate grossteils ausgesetzt.;04:47;23.04.2020
